Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.79     0.00    78300     0.00     0.00  CA_SMT::checkSAT(bool)
  0.00      1.79     0.00    78300     0.00     0.00  void std::_Destroy_aux<true>::__destroy<colVal*>(colVal*, colVal*)
  0.00      1.79     0.00    78300     0.00     0.00  void std::_Destroy<colVal*>(colVal*, colVal*)
  0.00      1.79     0.00    78300     0.00     0.00  void std::_Destroy<colVal*, colVal>(colVal*, colVal*, std::allocator<colVal>&)
  0.00      1.79     0.00    73351     0.00     0.00  __gnu_cxx::new_allocator<colVal>::new_allocator()
  0.00      1.79     0.00    73351     0.00     0.00  __gnu_cxx::new_allocator<colVal>::~new_allocator()
  0.00      1.79     0.00    73351     0.00     0.00  std::allocator<colVal>::allocator()
  0.00      1.79     0.00    73351     0.00     0.00  std::allocator<colVal>::~allocator()
  0.00      1.79     0.00    73351     0.00     0.00  std::_Vector_base<colVal, std::allocator<colVal> >::_Vector_impl::_Vector_impl()
  0.00      1.79     0.00    73351     0.00     0.00  std::_Vector_base<colVal, std::allocator<colVal> >::_Vector_impl::~_Vector_impl()
  0.00      1.79     0.00    73351     0.00     0.00  std::_Vector_base<colVal, std::allocator<colVal> >::_Vector_impl_data::_Vector_impl_data()
  0.00      1.79     0.00    73351     0.00     0.00  std::_Vector_base<colVal, std::allocator<colVal> >::_Vector_base()
  0.00      1.79     0.00    73351     0.00     0.00  std::_Vector_base<colVal, std::allocator<colVal> >::~_Vector_base()
  0.00      1.79     0.00    73351     0.00     0.00  std::vector<colVal, std::allocator<colVal> >::vector()
  0.00      1.79     0.00    73351     0.00     0.00  std::vector<colVal, std::allocator<colVal> >::~vector()
  0.00      1.79     0.00    69365     0.00     0.00  Cover::getVsize(int) const
  0.00      1.79     0.00    69003     0.00     0.00  tieBreaker::~tieBreaker()
  0.00      1.79     0.00    68850     0.00     0.00  tieBreaker::chooseRand()
  0.00      1.79     0.00    55704     0.00     0.00  tieBreaker::reWind()
  0.00      1.79     0.00    26550     0.00     0.00  Cover::getCol(int) const
  0.00      1.79     0.00    19800     0.00     0.00  std::vector<colVal, std::allocator<colVal> >::_M_range_check(unsigned long) const
  0.00      1.79     0.00    19800     0.00     0.00  std::vector<colVal, std::allocator<colVal> >::at(unsigned long)
  0.00      1.79     0.00    19800     0.00     0.00  std::vector<colVal, std::allocator<colVal> >::operator[](unsigned long)
  0.00      1.79     0.00     9504     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_propagate_on_copy_assign()
  0.00      1.79     0.00     9504     0.00     0.00  std::vector<int, std::allocator<int> >::capacity() const
  0.00      1.79     0.00     9504     0.00     0.00  std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&)
  0.00      1.79     0.00     9495     0.00     0.00  std::vector<int, std::allocator<int> >::_M_range_check(unsigned long) const
  0.00      1.79     0.00     9495     0.00     0.00  std::vector<int, std::allocator<int> >::at(unsigned long)
  0.00      1.79     0.00     9449     0.00     0.00  std::vector<colVal, std::allocator<colVal> >::_M_erase_at_end(colVal*)
  0.00      1.79     0.00     9449     0.00     0.00  std::vector<colVal, std::allocator<colVal> >::clear()
  0.00      1.79     0.00     9449     0.00     0.00  std::vector<int, std::allocator<int> >::_M_erase_at_end(int*)
  0.00      1.79     0.00     9449     0.00     0.00  std::vector<int, std::allocator<int> >::clear()
  0.00      1.79     0.00     9090     0.00     0.00  int* std::__niter_base<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      1.79     0.00     9000     0.00     0.00  Used::updateUsed(int)
